Project_Size,Weather_Conditions,Labor_Availability,Material_Availability,Site_Conditions,Government_Approvals,Budget_Issues,Equipment_Availability,Planned_Duration_Days,Actual_Completion_Days
Large,Clear,Sufficient,Delayed,Moderate,Approved,No,Available,188,203
Medium,Rain,Sufficient,Delayed,Good,Pending,No,Available,157,192
Medium,Snow,Insufficient,Delayed,Moderate,Approved,Yes,Delayed,332,367
Large,Snow,Insufficient,Delayed,Bad,Approved,No,Delayed,320,361
Large,Snow,Insufficient,Delayed,Good,Approved,Yes,Delayed,270,295
Medium,Snow,Sufficient,Delayed,Moderate,Approved,No,Available,68,102
Small,Storm,Insufficient,On-time,Moderate,Approved,No,Available,101,139
Small,Clear,Sufficient,On-time,Good,Pending,No,Delayed,363,381
Large,Clear,Sufficient,On-time,Bad,Pending,Yes,Available,225,263
Medium,Clear,Sufficient,On-time,Good,Approved,Yes,Available,57,83
Small,Rain,Insufficient,Delayed,Good,Approved,No,Delayed,267,301
Large,Rain,Sufficient,On-time,Bad,Pending,Yes,Available,219,254
Large,Clear,Insufficient,On-time,Moderate,Approved,No,Delayed,340,357
Medium,Clear,Sufficient,On-time,Bad,Approved,No,Delayed,138,160
Large,Storm,Insufficient,Delayed,Moderate,Approved,No,Delayed,217,237
Small,Clear,Sufficient,Delayed,Moderate,Approved,Yes,Delayed,103,122
Small,Clear,Sufficient,On-time,Good,Pending,No,Delayed,358,376
Medium,Storm,Sufficient,On-time,Good,Approved,Yes,Delayed,330,355
Small,Storm,Insufficient,Delayed,Good,Approved,Yes,Available,262,304
Small,Rain,Sufficient,Delayed,Moderate,Pending,No,Available,270,306
Small,Rain,Insufficient,Delayed,Good,Pending,Yes,Delayed,103,135
Small,Rain,Sufficient,On-time,Bad,Approved,No,Delayed,251,295
Large,Clear,Sufficient,On-time,Bad,Pending,Yes,Delayed,298,328
Small,Clear,Insufficient,On-time,Good,Approved,No,Delayed,72,97
Medium,Clear,Sufficient,On-time,Moderate,Pending,Yes,Available,210,244
Large,Rain,Insufficient,On-time,Moderate,Approved,No,Available,102,136
Large,Storm,Insufficient,On-time,Bad,Approved,No,Available,171,208
Large,Rain,Sufficient,Delayed,Moderate,Approved,Yes,Available,44,76
Small,Rain,Insufficient,Delayed,Good,Approved,Yes,Delayed,325,370
Large,Clear,Sufficient,Delayed,Moderate,Pending,Yes,Delayed,264,288
Small,Rain,Insufficient,On-time,Bad,Pending,No,Delayed,296,312
Medium,Rain,Insufficient,Delayed,Good,Approved,Yes,Delayed,216,232
Small,Snow,Insufficient,Delayed,Moderate,Approved,No,Available,130,177
Medium,Rain,Insufficient,Delayed,Good,Pending,Yes,Available,359,396
Large,Clear,Insufficient,On-time,Moderate,Approved,Yes,Delayed,311,346
Small,Rain,Insufficient,Delayed,Good,Pending,Yes,Available,155,194
Large,Rain,Sufficient,On-time,Bad,Pending,No,Delayed,349,398
Large,Clear,Insufficient,On-time,Moderate,Approved,Yes,Available,147,193
Small,Rain,Insufficient,On-time,Moderate,Approved,Yes,Delayed,38,81
Medium,Snow,Sufficient,On-time,Moderate,Approved,No,Delayed,170,207
Medium,Snow,Insufficient,On-time,Bad,Pending,No,Delayed,278,319
Small,Snow,Sufficient,On-time,Moderate,Pending,No,Available,31,72
Medium,Snow,Insufficient,Delayed,Good,Pending,No,Available,312,322
Small,Rain,Insufficient,Delayed,Bad,Pending,No,Delayed,96,112
Small,Storm,Sufficient,On-time,Bad,Pending,Yes,Available,174,184
Medium,Storm,Insufficient,Delayed,Bad,Pending,Yes,Delayed,40,53
Small,Rain,Sufficient,Delayed,Good,Approved,No,Delayed,243,274
Small,Rain,Sufficient,On-time,Bad,Approved,No,Delayed,335,376
Medium,Clear,Insufficient,On-time,Good,Approved,No,Delayed,337,384
Small,Snow,Sufficient,Delayed,Bad,Approved,Yes,Available,237,263
Small,Rain,Insufficient,Delayed,Bad,Pending,Yes,Delayed,203,250
Medium,Rain,Insufficient,Delayed,Bad,Pending,Yes,Available,110,140
Large,Rain,Insufficient,On-time,Good,Approved,Yes,Delayed,242,252
Small,Clear,Sufficient,Delayed,Bad,Approved,No,Available,61,74
Small,Rain,Insufficient,Delayed,Moderate,Pending,Yes,Delayed,230,255
Large,Rain,Insufficient,On-time,Bad,Pending,Yes,Delayed,62,84
Small,Snow,Sufficient,Delayed,Moderate,Pending,No,Delayed,111,141
Medium,Snow,Sufficient,On-time,Bad,Approved,Yes,Available,139,159
Medium,Clear,Sufficient,Delayed,Bad,Pending,No,Delayed,64,106
Large,Snow,Insufficient,On-time,Bad,Approved,No,Delayed,322,371
Small,Storm,Insufficient,Delayed,Good,Pending,No,Delayed,172,218
Small,Storm,Sufficient,On-time,Bad,Approved,No,Delayed,183,231
Small,Rain,Sufficient,On-time,Moderate,Approved,No,Available,126,150
Medium,Rain,Insufficient,On-time,Bad,Pending,No,Available,54,77
Medium,Storm,Insufficient,Delayed,Moderate,Pending,Yes,Available,45,88
Large,Clear,Sufficient,On-time,Moderate,Approved,Yes,Delayed,154,183
Small,Clear,Insufficient,On-time,Bad,Pending,No,Delayed,43,84
Medium,Storm,Insufficient,Delayed,Moderate,Approved,No,Delayed,105,128
Medium,Clear,Sufficient,Delayed,Good,Pending,Yes,Delayed,278,318
Small,Rain,Sufficient,On-time,Good,Pending,No,Delayed,136,179
Small,Clear,Insufficient,Delayed,Moderate,Approved,Yes,Delayed,309,332
Medium,Storm,Insufficient,Delayed,Good,Approved,No,Available,113,162
Medium,Clear,Sufficient,On-time,Good,Pending,Yes,Available,104,128
Large,Clear,Sufficient,On-time,Bad,Approved,No,Delayed,35,71
Medium,Rain,Insufficient,On-time,Moderate,Approved,No,Available,80,90
Large,Snow,Insufficient,On-time,Bad,Pending,Yes,Delayed,45,87
Small,Clear,Sufficient,On-time,Good,Pending,No,Available,227,263
Large,Rain,Sufficient,On-time,Bad,Pending,No,Available,63,104
Large,Storm,Sufficient,Delayed,Moderate,Approved,Yes,Available,212,237
Small,Snow,Insufficient,On-time,Moderate,Approved,No,Delayed,99,112
Small,Storm,Insufficient,On-time,Moderate,Pending,Yes,Delayed,296,325
Large,Clear,Sufficient,On-time,Bad,Pending,No,Available,119,139
Medium,Clear,Sufficient,On-time,Bad,Approved,Yes,Delayed,332,363
Small,Clear,Sufficient,On-time,Moderate,Approved,Yes,Available,151,175
Large,Clear,Sufficient,Delayed,Good,Pending,No,Available,165,189
Small,Rain,Insufficient,On-time,Bad,Approved,No,Delayed,266,293
Small,Rain,Sufficient,On-time,Good,Pending,Yes,Available,321,363
Large,Clear,Insufficient,Delayed,Bad,Approved,No,Available,307,348
Large,Storm,Sufficient,On-time,Good,Approved,No,Available,221,247
Large,Clear,Sufficient,On-time,Moderate,Approved,Yes,Delayed,130,151
Small,Snow,Sufficient,Delayed,Bad,Pending,No,Available,227,263
Small,Clear,Insufficient,Delayed,Bad,Pending,Yes,Delayed,133,155
Medium,Storm,Sufficient,Delayed,Moderate,Pending,Yes,Available,87,104
Medium,Rain,Sufficient,On-time,Bad,Pending,No,Delayed,267,302
Small,Storm,Sufficient,On-time,Moderate,Pending,No,Available,318,344
Small,Snow,Insufficient,Delayed,Good,Approved,Yes,Delayed,209,237
Medium,Rain,Sufficient,On-time,Moderate,Pending,Yes,Delayed,150,176
Medium,Rain,Insufficient,Delayed,Moderate,Pending,Yes,Available,101,134
Medium,Rain,Sufficient,Delayed,Good,Approved,Yes,Available,174,186
Large,Clear,Sufficient,On-time,Moderate,Pending,No,Available,296,325
Large,Storm,Insufficient,On-time,Bad,Approved,Yes,Delayed,238,253
Small,Rain,Sufficient,Delayed,Bad,Pending,Yes,Delayed,237,260
Medium,Storm,Insufficient,On-time,Good,Pending,No,Delayed,285,324
Small,Storm,Insufficient,Delayed,Good,Approved,Yes,Delayed,204,231
Large,Storm,Insufficient,Delayed,Moderate,Pending,Yes,Available,274,320
Large,Storm,Sufficient,Delayed,Moderate,Approved,No,Delayed,165,185
Medium,Rain,Insufficient,Delayed,Moderate,Approved,No,Available,129,170
Large,Snow,Sufficient,On-time,Bad,Pending,No,Delayed,85,133
Medium,Storm,Insufficient,On-time,Good,Approved,No,Available,196,206
Medium,Clear,Insufficient,Delayed,Bad,Pending,No,Available,193,212
Large,Storm,Insufficient,On-time,Bad,Approved,Yes,Delayed,97,109
Medium,Storm,Insufficient,Delayed,Good,Pending,No,Delayed,88,122
Small,Rain,Insufficient,On-time,Moderate,Pending,No,Available,361,389
Small,Clear,Insufficient,Delayed,Moderate,Approved,No,Delayed,335,349
Medium,Clear,Insufficient,Delayed,Good,Approved,Yes,Available,216,255
Small,Rain,Sufficient,Delayed,Bad,Pending,Yes,Delayed,55,80
Medium,Snow,Insufficient,On-time,Moderate,Pending,Yes,Available,273,287
Large,Storm,Insufficient,Delayed,Good,Pending,Yes,Delayed,37,71
Medium,Rain,Insufficient,On-time,Moderate,Approved,No,Available,339,360
Large,Storm,Sufficient,On-time,Bad,Pending,Yes,Available,226,266
Large,Clear,Sufficient,On-time,Bad,Approved,No,Available,262,261
Small,Snow,Sufficient,On-time,Bad,Pending,No,Available,92,126
Medium,Snow,Insufficient,Delayed,Bad,Pending,Yes,Available,342,367
Large,Clear,Insufficient,On-time,Good,Approved,Yes,Delayed,246,278
Small,Clear,Insufficient,Delayed,Good,Approved,Yes,Available,272,296
Small,Storm,Insufficient,On-time,Good,Pending,No,Delayed,69,102
Medium,Snow,Sufficient,Delayed,Bad,Pending,Yes,Delayed,132,168
Medium,Clear,Insufficient,On-time,Moderate,Approved,Yes,Delayed,363,409
Small,Snow,Sufficient,On-time,Bad,Pending,Yes,Delayed,59,107
Small,Storm,Insufficient,On-time,Bad,Approved,No,Delayed,322,354
Large,Snow,Insufficient,Delayed,Moderate,Approved,No,Delayed,229,260
Large,Clear,Insufficient,On-time,Moderate,Approved,No,Delayed,191,233
Medium,Clear,Sufficient,On-time,Good,Approved,Yes,Available,331,362
Medium,Clear,Sufficient,Delayed,Bad,Approved,No,Delayed,63,112
Medium,Snow,Sufficient,On-time,Bad,Approved,No,Delayed,110,139
Large,Rain,Insufficient,On-time,Good,Pending,Yes,Available,215,254
Small,Snow,Sufficient,Delayed,Good,Pending,No,Delayed,32,55
Small,Storm,Insufficient,On-time,Bad,Pending,Yes,Available,278,326
Medium,Rain,Sufficient,Delayed,Moderate,Approved,Yes,Delayed,326,371
Small,Rain,Sufficient,Delayed,Bad,Pending,No,Available,358,397
Medium,Rain,Insufficient,Delayed,Moderate,Pending,No,Delayed,198,208
Small,Storm,Insufficient,Delayed,Bad,Approved,Yes,Delayed,85,99
Small,Storm,Insufficient,Delayed,Good,Pending,No,Available,322,346
Medium,Storm,Insufficient,Delayed,Moderate,Pending,No,Available,42,52
Small,Clear,Sufficient,Delayed,Moderate,Approved,No,Available,200,215
Medium,Storm,Sufficient,Delayed,Good,Pending,No,Available,234,258
Small,Rain,Sufficient,On-time,Moderate,Approved,Yes,Available,132,177
Large,Snow,Insufficient,On-time,Good,Pending,No,Delayed,155,165
Small,Snow,Insufficient,On-time,Moderate,Approved,No,Delayed,64,86
Large,Clear,Sufficient,Delayed,Good,Approved,No,Available,207,236
Large,Clear,Insufficient,Delayed,Good,Approved,Yes,Available,238,254
Small,Clear,Sufficient,On-time,Moderate,Pending,Yes,Delayed,334,369
Medium,Clear,Insufficient,On-time,Bad,Pending,No,Delayed,323,370
Large,Storm,Sufficient,On-time,Bad,Approved,No,Delayed,57,94
Medium,Storm,Insufficient,On-time,Moderate,Pending,No,Available,174,201
Large,Snow,Insufficient,On-time,Moderate,Approved,No,Delayed,60,94
Large,Snow,Insufficient,Delayed,Good,Approved,Yes,Available,304,318
Large,Snow,Insufficient,On-time,Bad,Approved,No,Available,180,197
Small,Clear,Sufficient,Delayed,Good,Pending,Yes,Available,32,73
Medium,Storm,Sufficient,On-time,Good,Approved,No,Delayed,162,178
Medium,Storm,Sufficient,On-time,Bad,Approved,Yes,Available,354,390
Large,Storm,Sufficient,On-time,Moderate,Approved,Yes,Available,200,239
Medium,Rain,Insufficient,On-time,Good,Approved,No,Available,175,188
Medium,Clear,Sufficient,Delayed,Bad,Approved,Yes,Delayed,166,203
Large,Snow,Sufficient,On-time,Moderate,Pending,No,Available,30,55
Large,Storm,Sufficient,On-time,Moderate,Approved,Yes,Available,160,207
Medium,Snow,Insufficient,On-time,Bad,Approved,No,Available,240,267
Small,Clear,Insufficient,On-time,Moderate,Approved,Yes,Delayed,146,187
Large,Snow,Sufficient,On-time,Good,Approved,Yes,Available,288,301
Medium,Storm,Sufficient,Delayed,Bad,Approved,Yes,Delayed,253,269
Medium,Rain,Sufficient,Delayed,Good,Approved,No,Delayed,272,286
Medium,Rain,Insufficient,Delayed,Bad,Approved,No,Delayed,31,49
Small,Clear,Sufficient,Delayed,Bad,Pending,Yes,Available,232,273
Medium,Storm,Insufficient,On-time,Bad,Approved,No,Delayed,180,218
Medium,Clear,Insufficient,Delayed,Bad,Approved,No,Delayed,243,270
Medium,Snow,Sufficient,Delayed,Bad,Pending,No,Delayed,180,193
Large,Snow,Insufficient,Delayed,Moderate,Approved,Yes,Available,222,269
Medium,Rain,Sufficient,On-time,Moderate,Pending,Yes,Delayed,41,67
Small,Rain,Insufficient,Delayed,Bad,Approved,No,Available,72,118
Medium,Storm,Insufficient,Delayed,Moderate,Pending,No,Available,322,338
Small,Snow,Sufficient,Delayed,Moderate,Approved,Yes,Available,307,328
Medium,Snow,Insufficient,Delayed,Bad,Approved,No,Available,187,208
Small,Storm,Sufficient,Delayed,Bad,Pending,No,Delayed,264,275
Large,Snow,Insufficient,On-time,Good,Pending,No,Available,207,226
Medium,Storm,Sufficient,Delayed,Good,Approved,Yes,Available,352,394
Large,Clear,Insufficient,Delayed,Good,Pending,Yes,Delayed,166,212
Small,Rain,Insufficient,On-time,Moderate,Pending,Yes,Delayed,82,99
Small,Snow,Sufficient,Delayed,Good,Approved,Yes,Delayed,104,146
Medium,Storm,Sufficient,Delayed,Good,Pending,Yes,Available,324,337
Medium,Rain,Insufficient,Delayed,Moderate,Approved,Yes,Available,108,133
Medium,Rain,Insufficient,On-time,Bad,Pending,Yes,Delayed,57,76
Medium,Clear,Insufficient,On-time,Bad,Approved,No,Delayed,123,160
Small,Storm,Sufficient,Delayed,Moderate,Pending,No,Delayed,38,82
Medium,Clear,Sufficient,On-time,Good,Approved,No,Available,96,94
Medium,Storm,Insufficient,On-time,Bad,Approved,Yes,Available,129,165
Large,Clear,Sufficient,On-time,Moderate,Pending,Yes,Delayed,214,228
Small,Storm,Insufficient,On-time,Bad,Approved,No,Available,320,354
Medium,Snow,Sufficient,On-time,Good,Pending,Yes,Delayed,213,229
Large,Storm,Sufficient,On-time,Moderate,Approved,No,Available,61,103
Small,Rain,Sufficient,Delayed,Moderate,Pending,No,Delayed,62,75
Small,Clear,Sufficient,Delayed,Bad,Approved,No,Delayed,99,131
Large,Rain,Sufficient,Delayed,Bad,Pending,Yes,Delayed,32,49
Small,Snow,Insufficient,On-time,Moderate,Approved,Yes,Available,142,169
Large,Rain,Sufficient,On-time,Bad,Pending,Yes,Delayed,267,282
Large,Storm,Sufficient,Delayed,Good,Pending,Yes,Delayed,279,308
Small,Rain,Insufficient,Delayed,Bad,Pending,No,Available,295,332
Large,Snow,Sufficient,Delayed,Good,Pending,No,Available,148,197
Medium,Snow,Insufficient,On-time,Moderate,Approved,Yes,Available,105,150
Small,Clear,Sufficient,Delayed,Good,Pending,No,Delayed,330,367
Medium,Clear,Insufficient,On-time,Good,Approved,Yes,Delayed,152,167
Medium,Rain,Insufficient,Delayed,Bad,Approved,No,Delayed,200,221
Large,Clear,Insufficient,Delayed,Bad,Approved,No,Delayed,93,117
Small,Rain,Insufficient,Delayed,Moderate,Approved,No,Available,54,80
Small,Rain,Sufficient,Delayed,Good,Pending,No,Available,188,233
Medium,Rain,Sufficient,Delayed,Bad,Pending,No,Delayed,88,98
Large,Storm,Sufficient,Delayed,Bad,Approved,No,Available,349,396
Large,Snow,Insufficient,On-time,Good,Approved,No,Delayed,193,214
Large,Snow,Sufficient,On-time,Moderate,Pending,No,Available,104,114
Medium,Storm,Sufficient,On-time,Moderate,Approved,Yes,Delayed,165,195
Large,Snow,Insufficient,On-time,Bad,Approved,No,Delayed,267,306
Medium,Rain,Insufficient,On-time,Moderate,Approved,No,Available,132,171
Medium,Clear,Sufficient,On-time,Good,Pending,No,Delayed,313,352
Medium,Rain,Sufficient,Delayed,Good,Approved,Yes,Delayed,57,93
Large,Snow,Insufficient,Delayed,Moderate,Pending,No,Available,199,217
Small,Rain,Insufficient,Delayed,Good,Approved,No,Delayed,48,79
Medium,Snow,Insufficient,Delayed,Bad,Pending,Yes,Available,69,92
Small,Rain,Insufficient,Delayed,Bad,Approved,No,Delayed,269,290
Medium,Clear,Insufficient,Delayed,Bad,Approved,Yes,Delayed,159,194
Large,Snow,Sufficient,Delayed,Bad,Pending,No,Delayed,33,45
Small,Rain,Insufficient,On-time,Moderate,Approved,No,Available,192,236
Small,Storm,Insufficient,Delayed,Good,Approved,No,Available,251,271
Small,Clear,Insufficient,Delayed,Moderate,Pending,Yes,Available,60,93
Medium,Rain,Sufficient,Delayed,Bad,Pending,No,Available,171,187
Small,Storm,Sufficient,Delayed,Moderate,Pending,Yes,Delayed,353,394
Large,Storm,Insufficient,Delayed,Moderate,Pending,No,Available,262,303
Small,Rain,Sufficient,On-time,Bad,Approved,Yes,Available,288,305
Large,Snow,Insufficient,On-time,Bad,Pending,No,Delayed,293,333
Small,Clear,Insufficient,On-time,Bad,Approved,Yes,Available,164,196
Medium,Storm,Insufficient,Delayed,Good,Approved,Yes,Available,216,243
Small,Snow,Insufficient,On-time,Good,Approved,Yes,Available,248,266
Large,Storm,Sufficient,On-time,Moderate,Pending,Yes,Available,337,354
Small,Snow,Insufficient,Delayed,Moderate,Pending,No,Available,177,214
Large,Storm,Sufficient,Delayed,Bad,Pending,Yes,Delayed,295,336
Medium,Clear,Sufficient,On-time,Bad,Pending,Yes,Available,97,146
Medium,Rain,Insufficient,Delayed,Moderate,Approved,Yes,Available,79,125
Large,Snow,Sufficient,On-time,Good,Pending,Yes,Available,205,215
Small,Storm,Insufficient,On-time,Good,Pending,No,Delayed,137,184
Small,Clear,Insufficient,On-time,Bad,Approved,No,Available,325,356
Small,Storm,Insufficient,Delayed,Bad,Pending,No,Delayed,343,380
Small,Snow,Insufficient,On-time,Bad,Approved,No,Available,167,189
Medium,Snow,Insufficient,Delayed,Moderate,Pending,Yes,Available,162,193
Large,Storm,Sufficient,Delayed,Bad,Pending,Yes,Available,153,164
Medium,Rain,Sufficient,On-time,Good,Approved,No,Delayed,70,117
Large,Snow,Insufficient,Delayed,Good,Approved,Yes,Delayed,275,309
Medium,Clear,Sufficient,Delayed,Bad,Approved,No,Available,170,198
Small,Snow,Sufficient,On-time,Bad,Approved,No,Available,210,233
Medium,Rain,Insufficient,Delayed,Good,Pending,No,Available,322,352
Large,Storm,Insufficient,On-time,Good,Approved,No,Delayed,126,152
Medium,Clear,Sufficient,Delayed,Moderate,Pending,No,Available,194,217
Medium,Rain,Sufficient,On-time,Bad,Approved,Yes,Available,273,304
Large,Storm,Sufficient,Delayed,Bad,Approved,Yes,Delayed,99,128
Medium,Clear,Insufficient,On-time,Moderate,Pending,No,Delayed,287,309
Medium,Rain,Insufficient,On-time,Bad,Pending,No,Delayed,347,386
Large,Clear,Insufficient,Delayed,Bad,Pending,Yes,Available,57,98
Large,Storm,Sufficient,On-time,Bad,Approved,No,Available,96,145
Medium,Snow,Insufficient,Delayed,Good,Approved,No,Available,188,199
Medium,Rain,Sufficient,On-time,Moderate,Approved,Yes,Delayed,94,135
Small,Snow,Insufficient,Delayed,Bad,Approved,No,Available,333,360
Small,Rain,Insufficient,Delayed,Moderate,Pending,Yes,Delayed,308,349
Small,Storm,Sufficient,On-time,Good,Approved,No,Delayed,280,320
Small,Snow,Insufficient,Delayed,Moderate,Approved,No,Delayed,88,106
Medium,Rain,Sufficient,On-time,Good,Pending,No,Available,192,210
Small,Clear,Sufficient,On-time,Bad,Pending,Yes,Delayed,96,133
Small,Storm,Sufficient,Delayed,Bad,Pending,No,Delayed,263,292
Medium,Snow,Insufficient,Delayed,Good,Pending,Yes,Available,212,244
Small,Storm,Sufficient,On-time,Bad,Approved,Yes,Delayed,110,151
Medium,Snow,Insufficient,Delayed,Bad,Pending,No,Delayed,175,191
Large,Clear,Sufficient,Delayed,Good,Pending,No,Available,223,236
Large,Clear,Insufficient,Delayed,Bad,Pending,No,Available,320,367
Medium,Clear,Insufficient,On-time,Moderate,Pending,Yes,Delayed,58,87
Medium,Rain,Sufficient,On-time,Moderate,Approved,Yes,Delayed,102,149
Medium,Snow,Sufficient,On-time,Good,Pending,No,Delayed,324,358
Large,Rain,Sufficient,Delayed,Bad,Pending,Yes,Available,326,339
Large,Snow,Insufficient,Delayed,Moderate,Pending,Yes,Available,207,224
Small,Clear,Sufficient,On-time,Bad,Pending,Yes,Delayed,269,303
Large,Clear,Sufficient,Delayed,Bad,Approved,Yes,Available,243,283
Medium,Clear,Insufficient,Delayed,Bad,Approved,Yes,Delayed,122,147
Small,Storm,Sufficient,Delayed,Moderate,Approved,No,Available,79,96
Large,Snow,Sufficient,On-time,Bad,Pending,No,Delayed,48,64
Medium,Clear,Insufficient,Delayed,Moderate,Approved,Yes,Available,59,104
Small,Clear,Sufficient,On-time,Moderate,Approved,Yes,Available,314,336
Large,Rain,Sufficient,Delayed,Good,Pending,Yes,Delayed,322,334
Large,Rain,Sufficient,On-time,Good,Approved,No,Delayed,73,87
Large,Snow,Insufficient,On-time,Good,Pending,No,Delayed,334,380
Medium,Clear,Sufficient,On-time,Moderate,Approved,Yes,Delayed,139,155
Large,Storm,Insufficient,Delayed,Bad,Approved,Yes,Available,173,199
Small,Clear,Sufficient,Delayed,Moderate,Approved,No,Available,257,283
Small,Rain,Sufficient,On-time,Good,Approved,No,Available,145,162
Medium,Rain,Insufficient,On-time,Good,Approved,No,Available,249,273
Small,Snow,Insufficient,On-time,Moderate,Pending,No,Available,35,52
